x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,9.0,14.0,10.0,7.0,7.0,13.0,12.0,11.0,6.0
12.0,21.0,19.0,15.0,20.0,18.0,23.0,19.0,22.0,16.0
23.0,27.0,29.0,25.0,33.0,27.0,36.0,24.0,29.0,27.0
32.0,38.0,40.0,30.0,43.0,41.0,44.0,35.0,38.0,44.0
43.0,53.0,43.0,37.0,51.0,49.0,58.0,46.0,49.0,56.0
50.0,61.0,56.0,50.0,62.0,65.0,68.0,55.0,59.0,75.0
63.0,72.0,64.0,62.0,66.0,74.0,83.0,64.0,70.0,87.0
73.0,83.0,74.0,78.0,75.0,87.0,96.0,77.0,78.0,95.0
83.0,93.0,87.0,88.0,84.0,105.0,114.0,82.0,92.0,103.0
92.0,104.0,100.0,102.0,93.0,119.0,122.0,95.0,98.0,121.0
97.0,111.0,108.0,116.0,105.0,131.0,129.0,107.0,112.0,135.0
113.0,128.0,116.0,123.0,121.0,133.0,138.0,116.0,126.0,148.0
124.0,142.0,132.0,132.0,135.0,147.0,153.0,130.0,138.0,158.0
134.0,154.0,143.0,143.0,148.0,156.0,169.0,143.0,148.0,167.0
143.0,164.0,158.0,152.0,160.0,169.0,180.0,150.0,160.0,173.0
153.0,177.0,168.0,172.0,168.0,184.0,192.0,156.0,175.0,188.0
169.0,194.0,182.0,183.0,179.0,197.0,208.0,162.0,189.0,204.0
178.0,202.0,198.0,194.0,188.0,206.0,224.0,176.0,205.0,214.0
189.0,219.0,210.0,211.0,197.0,223.0,243.0,195.0,218.0,225.0
206.0,233.0,227.0,221.0,208.0,232.0,256.0,206.0,229.0,234.0
228.0,249.0,245.0,236.0,221.0,249.0,270.0,217.0,245.0,250.0
238.0,262.0,261.0,247.0,231.0,264.0,286.0,229.0,258.0,262.0
253.0,276.0,279.0,260.0,248.0,275.0,298.0,246.0,271.0,272.0
271.0,287.0,295.0,270.0,260.0,291.0,312.0,266.0,286.0,282.0
288.0,306.0,316.0,287.0,270.0,310.0,327.0,283.0,300.0,296.0
300.0,329.0,328.0,298.0,284.0,335.0,348.0,294.0,309.0,308.0
318.0,342.0,342.0,309.0,295.0,347.0,364.0,313.0,322.0,324.0
330.0,365.0,359.0,321.0,312.0,366.0,384.0,329.0,332.0,336.0
346.0,388.0,373.0,339.0,325.0,385.0,400.0,355.0,350.0,347.0
360.0,399.0,389.0,355.0,342.0,401.0,421.0,367.0,366.0,367.0
380.0,422.0,406.0,367.0,359.0,417.0,444.0,381.0,380.0,391.0
390.0,437.0,424.0,377.0,369.0,432.0,461.0,399.0,401.0,402.0
402.0,457.0,441.0,383.0,379.0,450.0,486.0,417.0,423.0,418.0
417.0,483.0,461.0,401.0,392.0,472.0,506.0,435.0,445.0,427.0
438.0,504.0,480.0,410.0,409.0,490.0,530.0,448.0,464.0,441.0
456.0,527.0,494.0,424.0,423.0,510.0,558.0,471.0,482.0,454.0
479.0,549.0,509.0,439.0,442.0,534.0,578.0,491.0,503.0,468.0
493.0,577.0,524.0,456.0,457.0,555.0,595.0,507.0,514.0,487.0
518.0,594.0,535.0,467.0,476.0,573.0,614.0,524.0,537.0,506.0
541.0,620.0,555.0,486.0,488.0,597.0,635.0,538.0,561.0,526.0
560.0,645.0,575.0,501.0,506.0,621.0,652.0,555.0,579.0,550.0
577.0,677.0,590.0,523.0,524.0,639.0,670.0,575.0,602.0,565.0
601.0,706.0,612.0,538.0,556.0,665.0,704.0,602.0,628.0,584.0
614.0,734.0,631.0,566.0,576.0,686.0,738.0,629.0,654.0,602.0
640.0,758.0,651.0,596.0,595.0,712.0,769.0,651.0,678.0,623.0
670.0,785.0,672.0,619.0,621.0,742.0,801.0,672.0,696.0,644.0
696.0,819.0,701.0,646.0,643.0,770.0,821.0,694.0,718.0,670.0
720.0,847.0,723.0,668.0,665.0,807.0,850.0,726.0,745.0,692.0
738.0,884.0,741.0,693.0,684.0,833.0,878.0,762.0,766.0,720.0
762.0,914.0,764.0,717.0,710.0,865.0,914.0,796.0,790.0,736.0
784.0,959.0,788.0,739.0,734.0,903.0,945.0,817.0,811.0,770.0
819.0,990.0,818.0,769.0,759.0,923.0,970.0,836.0,842.0,792.0
853.0,1017.0,844.0,800.0,783.0,962.0,1006.0,876.0,867.0,808.0
881.0,1052.0,873.0,827.0,813.0,995.0,1041.0,907.0,897.0,832.0
910.0,1089.0,898.0,853.0,838.0,1023.0,1082.0,945.0,921.0,863.0
939.0,1145.0,924.0,875.0,867.0,1059.0,1112.0,968.0,944.0,893.0
967.0,1192.0,952.0,896.0,892.0,1098.0,1153.0,989.0,974.0,919.0
994.0,1247.0,982.0,928.0,917.0,1134.0,1192.0,1020.0,1003.0,945.0
1028.0,1292.0,1014.0,954.0,942.0,1170.0,1231.0,1058.0,1035.0,975.0
1064.0,1343.0,1044.0,986.0,980.0,1219.0,1268.0,1099.0,1073.0,1011.0
1098.0,1389.0,1076.0,1015.0,1018.0,1252.0,1302.0,1127.0,1101.0,1036.0
1127.0,1432.0,1118.0,1046.0,1050.0,1290.0,1354.0,1158.0,1133.0,1060.0
1158.0,1490.0,1156.0,1080.0,1081.0,1330.0,1393.0,1199.0,1168.0,1090.0
1192.0,1537.0,1180.0,1101.0,1115.0,1365.0,1442.0,1234.0,1195.0,1119.0
1229.0,1583.0,1213.0,1144.0,1149.0,1414.0,1483.0,1270.0,1226.0,1149.0
1267.0,1642.0,1247.0,1173.0,1192.0,1452.0,1523.0,1312.0,1261.0,1191.0
1310.0,1691.0,1284.0,1199.0,1223.0,1493.0,1566.0,1347.0,1305.0,1228.0
1346.0,1737.0,1320.0,1231.0,1254.0,1547.0,1605.0,1389.0,1356.0,1263.0
1387.0,1793.0,1348.0,1270.0,1290.0,1596.0,1651.0,1432.0,1392.0,1300.0
1426.0,1835.0,1389.0,1307.0,1324.0,1631.0,1700.0,1479.0,1435.0,1333.0
1480.0,1883.0,1430.0,1350.0,1376.0,1686.0,1741.0,1525.0,1474.0,1363.0
1514.0,1940.0,1470.0,1385.0,1420.0,1735.0,1802.0,1567.0,1520.0,1412.0
1551.0,2012.0,1507.0,1419.0,1448.0,1794.0,1858.0,1612.0,1566.0,1444.0
1588.0,2077.0,1548.0,1456.0,1494.0,1847.0,1897.0,1660.0,1610.0,1484.0
1628.0,2157.0,1579.0,1493.0,1538.0,1899.0,1954.0,1705.0,1653.0,1521.0
