x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
100.0,110.0,141.0,136.0,151.0,395.0,522.0,403.0,919.0,901.0,984.0,1286.0,1444.0
100.0,113.0,120.0,148.0,317.0,313.0,645.0,841.0,919.0,1133.0,1412.0,1618.0,1577.0
100.0,114.0,154.0,137.0,429.0,420.0,467.0,394.0,1204.0,1214.0,1431.0,851.0,1249.0
100.0,109.0,164.0,217.0,262.0,255.0,434.0,601.0,1028.0,995.0,1110.0,1142.0,836.0
100.0,112.0,110.0,213.0,317.0,294.0,656.0,542.0,1249.0,835.0,1032.0,1224.0,1197.0
100.0,107.0,136.0,218.0,258.0,265.0,389.0,395.0,984.0,762.0,1382.0,865.0,1126.0
100.0,118.0,190.0,327.0,387.0,244.0,563.0,1276.0,1063.0,1461.0,1370.0,1466.0,1023.0
100.0,103.0,132.0,114.0,185.0,235.0,289.0,356.0,286.0,782.0,808.0,1287.0,1220.0
100.0,107.0,138.0,241.0,360.0,227.0,301.0,353.0,1157.0,790.0,1041.0,851.0,947.0
100.0,110.0,131.0,160.0,295.0,546.0,339.0,874.0,971.0,1435.0,1235.0,1461.0,974.0
