x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000.0,1129.0,1413.0,1788.0,2106.0,3224.0,4366.0,6882.0,10177.0,11721.0,11511.0,11237.0,10988.0
1000.0,1095.0,1392.0,2241.0,2104.0,4207.0,4575.0,7195.0,9773.0,11434.0,11739.0,10246.0,11533.0
1000.0,1134.0,1421.0,2168.0,2468.0,3301.0,4698.0,6157.0,8770.0,11340.0,12158.0,10636.0,10982.0
1000.0,1112.0,1410.0,2091.0,3289.0,3157.0,5104.0,7994.0,9409.0,10529.0,12119.0,11044.0,11284.0
1000.0,1154.0,1465.0,2527.0,3015.0,3787.0,6141.0,9038.0,9464.0,10849.0,12115.0,11116.0,12580.0
1000.0,1118.0,1387.0,2108.0,3355.0,3534.0,5478.0,6686.0,8976.0,11010.0,8943.0,11308.0,10005.0
1000.0,1154.0,1518.0,2494.0,3072.0,3920.0,4964.0,8197.0,9897.0,11946.0,11195.0,12715.0,11958.0
1000.0,1108.0,1602.0,2222.0,2474.0,4256.0,5389.0,6864.0,8864.0,9599.0,10789.0,11483.0,11787.0
1000.0,1122.0,1567.0,2153.0,2510.0,3273.0,5395.0,8027.0,11679.0,10959.0,10881.0,11724.0,12103.0
1000.0,1185.0,1407.0,2152.0,2548.0,3691.0,5376.0,6499.0,9711.0,10497.0,10070.0,10656.0,10976.0
